city,lat,lon
Berlin,52.52,13.405
Chenzhou,25.77,113.016
Jiangmen,22.5789,113.0815
Mianyang,31.468,104.679
Jiujiang,29.661,115.954
Huaihua,27.5698,110.0016
Huanglongsi,34.795,114.345
Taizhou,32.4567,119.9229
Belāhi,26.4,86.25
Yibin,28.752,104.643
Ji’an,27.0912,114.9668
Yangzhou,32.3944,119.4128
Kunming,25.0464,102.7094
Changchun,43.897,125.326
Lu’an,31.736,116.52
Xinpu,34.5966,119.2214
Langfang,39.5383,116.6835
Boston,42.3188,-71.0852
Ürümqi,43.8225,87.6125
Suzhou,31.3,120.6194
Guigang,23.112,109.599
Shantou,23.354,116.682
Jiangguanchi,34.037,113.852
Kabul,34.5253,69.1783
Xiaoganzhan,30.918,113.957
Bamako,12.6458,-7.9922
Kano,12,8.5167
Luzhou,28.871,105.442
Hefei,31.8206,117.2273
Hengshui,37.739,115.669
Fortaleza,-3.7275,-38.5275
Anqing,30.5318,117.1153
Zhangjiakou,40.769,114.886
Zhaoqing,23.05,112.4667
Shijiazhuang,38.0425,114.51
Ningbo,29.8603,121.6245
Qiqihar,47.3549,123.9182
Phoenix,33.5722,-112.0892
Liuzhou,24.3278,109.4278
Chifeng,42.255,118.8825
Xiaoxita,30.692,111.287
Amman,31.9497,35.9328
Linfen,36.088,111.519
Xianyang,34.3299,108.7088
Chuzhou,32.256,118.333
Kumasi,6.7,-1.625
Zhuzhou,27.829,113.133
Taiyuan,37.8704,112.5497
Qingyuan,23.682,113.056
Meizhou,24.289,116.122
Yiyang,28.5549,112.356
Nanning,22.8167,108.3275
Harbin,45.7576,126.6409
Loudi,27.6998,111.9944
Abuja,9.0667,7.4833
Yokohama,35.4442,139.6381
Suihua,46.654,126.969
Binzhou,37.383,117.971
Zaozhuang,34.8109,117.3238
Detroit,42.3834,-83.1024
Xiamen,24.4796,118.0889
Mashhad,36.3264,59.5433
Montréal,45.5089,-73.5617
Fuzhou,26.0743,119.2964
Wuhu,31.3526,118.4331
Medan,3.5894,98.6739
Yulinshi,38.2858,109.7341
Fuzhou,27.949,116.358
Wenzhou,27.9938,120.6993
Changzhou,31.811,119.974
Puyang,35.7627,115.0292
Nanchang,28.683,115.858
Baicheng,23.903,106.619
Seattle,47.6211,-122.3244
Ibadan,7.3964,3.9167
Jiaozuo,35.2157,113.2419
Nādampālaiyam,11.0125,76.9714
Deyang,31.127,104.398
Busan,35.18,129.075
Hechi,24.693,108.085
Tangshan,39.6294,118.1739
Lucknow,26.85,80.95
San Francisco,37.7558,-122.4449
Boankra,6.6919,-1.4051
Dubai,25.2631,55.2972
Anshan,41.108,122.994
Guozhen,34.3609,107.1751
Baojishi,34.363,107.238
Qinzhou,21.981,108.654
Guiyang,26.647,106.63
Wuxi,31.5667,120.2833
Kannankulam,10.52,76.21
Caracas,10.4806,-66.9036
Kotla Qasim Khan,32.5833,73.75
Casablanca,33.5333,-7.5833
Hanzhong,33.0664,107.0232
Shiyan,32.629,110.7987
Guang’an,30.4564,106.6326
Faisalabad,31.4167,73.0911
Changzhi,36.195,113.117
Tongren,27.7316,109.1895
Bengbu,32.917,117.389
Leshan,29.552,103.766
Santa Cruz de la Sierra,-17.7892,-63.1975
Neijiang,29.5802,105.058
Zhenjiang,32.188,119.424
Qinhuangdao,39.8882,119.5202
Bursa,40.1833,29.05
Tashkent,41.3111,69.2797
Guayaquil,-2.19,-79.8875
Jaipur,26.9,75.8
Lanzhou,36.0606,103.8268
Ouagadougou,12.3686,-1.5275
Athens,37.9842,23.7281
San Diego,32.8313,-117.1222
Guatemala City,14.6417,-90.5133
Kuwait City,29.3697,47.9783
Qincheng,34.5815,105.7248
İzmir,38.42,27.14
Quezon City,14.65,121.0475
Kyiv,50.45,30.5233
Kottārasshēri,10.775,76.651
Meishan,30.0771,103.8484
Incheon,37.4833,126.6333
Ningde,26.6662,119.5477
Zhongshan,22.517,113.3925
Minneapolis,44.9635,-93.2678
Tampa,27.9945,-82.4447
Putian,25.4526,119.0078
Mbuji-Mayi,-6.15,23.6
Tongliao,43.654,122.243
Chaoyang,41.571,120.453
Hohhot,40.842,111.749
Pyongyang,39.0167,125.7475
Shaoguan,24.811,113.597
Taichung,24.1439,120.6794
Cali,3.4206,-76.5222
Heyuan,23.7443,114.7002
Wuzhou,23.4767,111.279
Pretoria,-25.7461,28.1881
Suining,30.533,105.593
Omdurman,15.6835,32.4629
Weihai,37.5133,122.1205
Rizhao,35.417,119.527
Malang,-7.98,112.62
Stuttgart,48.7775,9.18
Daqing,46.589,125.104
Rome,41.8931,12.4828
Kaohsiung,22.615,120.2975
Brooklyn,40.6501,-73.9496
Xiangtan,27.8313,112.9454
Bazhou,31.868,106.748
Handan,36.601,114.487
Brisbane,-27.4678,153.0281
Jinzhou,41.129,121.148
Denver,39.762,-104.8758
Xinzhou,38.416,112.734
Nanping,26.6418,118.1774
Gāzipura,23.9234,90.3959
Shanwei,22.7872,115.3756
Maracaibo,10.6333,-71.6333
Chaozhou,23.658,116.622
Baotou,40.6213,109.9532
Longyan,25.076,117.017
Weifang,36.708,119.162
Huai’an,33.551,119.113
Zibo,36.8138,118.055
Attadappa,11.8689,75.3555
Munich,48.1375,11.575
Gulou,26.0865,119.298
Birmingham,52.48,-1.9025
Valencia,10.1833,-68
Damascus,33.502,36.2981
Chattogram,22.335,91.8325
Brazzaville,-4.2667,15.2667
Yangjiang,21.857,111.983
Sanaa,15.3483,44.2064
Barmhān Kalān,19.1972,72.9722
Medellín,6.2308,-75.5906
Dingxi,35.608,104.592
Shaoxing,30.0511,120.5833
Yantai,37.4646,121.4478
Huizhou,23.112,114.416
Xuanzhou,30.939,118.759
Mirzāpur,25.146,82.569
Hamburg,53.55,10
Taipei,25.0375,121.5625
Ankang,32.6854,109.029
Zigong,29.339,104.779
Sanming,26.2634,117.6389
Toluca,19.2925,-99.6569
Huangshi,30.2011,115.039
Yaoundé,3.8667,11.5167
Zhuhai,22.2742,113.5719
Huludao,40.711,120.837
Baoshan,25.112,99.161
Mecca,21.4225,39.8261
Vancouver,49.25,-123.1
Lianshan,40.7523,120.828
Beirut,33.8981,35.5058
Salvador,-12.9831,-38.4928
Bucharest,44.4325,26.1039
Longba,33.3702,104.9603
Nāgpur,21.1497,79.0806
Queens,40.7498,-73.7976
Tieling,42.2237,123.726
Yunfu,22.9152,112.0445
Bekasi,-6.2333,107
Daegu,35.8717,128.6017
Ghāziābād,28.67,77.42
Luoyang,34.6197,112.4539
Luohe,33.5804,114.0166
Algiers,36.7325,3.0872
Anshun,26.2531,105.9476
Huainan,32.6314,117.0194
Depok,-6.394,106.8225
Konya,37.8667,32.4833
Haiphong,20.8651,106.6838
Yanjiang,30.129,104.627
Guangyuan,32.436,105.844
Baku,40.3667,49.8352
Yingkou,40.625,122.219
Mudanjiang,44.5514,129.6329
Riverside,33.9381,-117.3949
Fukuoka,33.59,130.4017
Nantong,31.981,120.894
Lincang,23.884,100.089
Las Vegas,36.2333,-115.2654
Haikou,20.0186,110.3488
Yuxi,24.347,102.527
Tangerang,-6.1703,106.6403
Supaul,26.126,86.605
Almaty,43.24,76.915
Vienna,48.2083,16.3725
Eşfahān,32.6653,51.6703
Xining,36.6224,101.7804
Jincheng,35.491,112.852
Baltimore,39.3051,-76.6144
Dandong,40.1167,124.3833
Yan’an,36.65,109.494
Qinbaling,35.7091,107.6436
Gaoping,30.7824,106.1281
Awka,6.2069,7.0678
Taizhou,28.6557,121.4208
Ma’anshan,31.669,118.507
Jiamusi,46.8,130.319
Perth,-31.9558,115.8597
Gaziantep,37.0628,37.3792
Phnom Penh,11.5696,104.921
St. Louis,38.6359,-90.2451
Mogadishu,2.0392,45.3419
Lishui,28.468,119.923
Kowloon,22.3167,114.1833
Córdoba,-31.4167,-64.1833
Zamboanga City,6.9042,122.0761
Rawalpindi,33.6,73.0333
Havana,23.1367,-82.3589
Chongzuo,22.377,107.365
Portland,45.5371,-122.65
Laibin,23.7501,109.2212
San Antonio,29.4632,-98.5238
Vadodara,22.3,73.2
Qingyang,24.7816,118.5517
Rājkot,22.3,70.7833
Shangzhou,33.8734,109.9186
Vishākhapatnam,17.7042,83.2978
Shengli,37.434,118.6746
Sanmenxia,34.7732,111.2004
Warsaw,52.23,21.0111
Gujranwala,32.1567,74.19
Hezhou,24.4042,111.5672
Aleppo,36.2319,37.1681
Tijuana,32.525,-117.0333
Puning,23.298,116.166
Indore,22.7167,75.8472
Minsk,53.9006,27.5586
Karaj,35.8292,50.9675
Kananga,-5.897,22.4488
Huaibei,33.956,116.798
Peshawar,34.0144,71.5675
Sacramento,38.5677,-121.4685
Sapporo,43.0619,141.3544
Tilburg,51.5572,5.0911
Austin,30.3005,-97.7522
Orlando,28.4773,-81.337
Davao,7.07,125.6
Songjiang,31.0058,121.2333
Yinchuan,38.485,106.225
Abhepur,39.41,116.38
Thāne,19.1972,72.9722
Multan,30.1978,71.4697
Port Harcourt,4.8242,7.0336
Fushun,41.881,123.957
Tainan,22.9833,120.1833
Pingliang,35.5424,106.6649
Siping,43.1668,124.3506
San Juan,18.3985,-66.061
Pingxiang,27.659,113.887
Bhopāl,23.2599,77.4126
Mosul,36.3667,43.1167
Diyarbakır,37.91,40.24
Lubumbashi,-11.6647,27.4794
Benin City,6.3333,5.6222
Curitiba,-25.4297,-49.2719
San Jose,37.3012,-121.848
Shuyangzha,34.1299,118.7734
Adana,37,35.3213
Quito,-0.22,-78.5125
Āgra,27.18,78.02
Peyanvilai,8.9,77.9833
Lusaka,-15.4167,28.2833
Indianapolis,39.7771,-86.1458
Hyderabad City,25.3792,68.3683
Pimpri-Chinchwad,18.6186,73.8037
Maracay,10.2469,-67.5961
Masqaţ,23.614,58.5911
Montevideo,-34.9056,-56.1842
Pittsburgh,40.4397,-79.9763
Cincinnati,39.1413,-84.506
Manhattan,40.7834,-73.9662
Kansas City,39.1238,-94.5541
Budapest,47.4983,19.0408
Patna,25.594,85.1376
Kampala,0.3136,32.5811
Beihai,21.481,109.12
Sanzhou,30.82,108.4
Cleveland,41.4764,-81.6805
Conakry,9.5092,-13.7122
Ximeicun,24.9612,118.3849
Caloocan City,14.65,120.97
Ecatepec,19.6097,-99.06
Yushan,31.322,120.985
Fuxin,42.022,121.67
Novosibirsk,55.05,82.95
Bilāspur,22.09,82.15
Semarang,-6.99,110.4225
Jingdezhen,29.2917,117.1986
Ludhiāna,30.91,75.85
Liaoyang,41.279,123.176
Jiangyin,31.839,120.295
Valencia,39.47,-0.3764
Shuozhou,39.3317,112.4329
León de los Aldama,21.1167,-101.6833
Columbus,39.9862,-82.9855
Puebla,19.0333,-98.1833
Biên Hòa,10.95,106.8167
Chengtangcun,35.0833,117.15
Yopougon,5.3748,-4.0867000000000004
Hebi,35.748,114.297
Shīrāz,29.61,52.5425
Dushanbe,38.5367,68.78
Madurai,9.9252,78.1198
Huzhou,30.8925,120.0875
Harare,-17.8292,31.0522
Tabrīz,38.0817,46.2992
Jamshedpur,22.7925,86.1842
Baicheng,45.62,122.838
San José,9.9325,-84.08
Shaoyang,32.912,119.8526
San Salvador,13.6989,-89.1914
Palembang,-2.9861,104.7556
Kawasaki,35.5167,139.7
Kōbe,34.69,135.1956
Jiaxing,30.747,120.756
Zhangjiajie,29.117,110.479
Baiyin,36.5451,104.1389
Guiping,23.4,110.0833
Changshu,31.656,120.753
Jixi,45.295,130.969
Xushan,30.1667,121.2333
Lomé,6.1308,1.2153
Niamey,13.515,2.1175
Gwangju,35.1653,126.8486
Recife,-8.0539,-34.8808
Nāsik,19.9975,73.7898
Abu Dhabi,24.4667,54.3667
Onitsha,6.1667,6.7833
Amsterdam,52.3728,4.8936
Vijayavāda,16.5193,80.6305
Zapopan,20.7167,-103.4
Daejeon,36.35,127.385
Bronx,40.8501,-73.8662
Auckland,-36.8492,174.7653
Yekaterinburg,56.8356,60.6128
Wuwei,37.929,102.638
Jinhua,29.079,119.647
Kyōto,35.0117,135.7683
Pizhou,34.398,117.89
Yangshe,31.8767,120.556
Dakar,14.6726,-17.432
Charlotte,35.2083,-80.8303
Yucheng,30.01,103.0415
Kayseri,38.7225,35.4875
Virginia Beach,36.7335,-76.0435
Rui’an,27.7833,120.625
Muscat,23.6139,58.5922
Kharkiv,49.9925,36.2311
Pointe-Noire,-4.7975,11.8503
Medina,24.47,39.61
Sangereng,-6.2889,106.7181
Farīdābād,28.4211,77.3078
Sofia,42.6979,23.3217
Ulaanbaatar,47.9214,106.9055
Adelaide,-34.9275,138.6
Prague,50.0875,14.4214
Wenling,28.3667,121.3667
Copenhagen,55.6805,12.5615
Najafgarh,28.6125,76.9847
Lianjiang,21.7333,110.2833
Helsinki,60.1708,24.9375
Samsun,41.2903,36.3336
Milan,45.4669,9.19
Antalya,36.8874,30.7075
Santiago,19.4572,-70.6889
Chizhou,30.6654,117.4916
Makassar,-5.1331,119.4136
Porto Alegre,-30.0328,-51.23
Huangshan,29.7149,118.3376
Gaozhou,21.9244,110.8422
Barranquilla,10.9833,-74.8019
Al Başrah,30.515,47.81
Benxi,41.3039,123.7649
Saitama,35.8614,139.6456
Ahvāz,31.3047,48.6783
Guarulhos,-23.4667,-46.5333
Leizhou,20.9143,110.0967
Juárez,31.745,-106.485
Mandalay,21.9831,96.0844
Yangquan,37.8571,113.5804
Fuqing,25.7167,119.3833
Xintai,35.909,117.768
Wusong,30.945,117.811
Tongling,30.9456,117.8114
Calgary,51.05,-114.0667
Meerut,28.98,77.71
Jacksonville,30.3322,-81.6749
Kuaidamao,41.7283,125.9397
Huazhou,21.664,110.6396
Milwaukee,43.0642,-87.9675
Wuzhong,37.9978,106.1986
Belém,-1.4558,-48.5039
Cacuaco,-8.8053,13.2444
Rosario,-32.9575,-60.6394
Tangier,35.7767,-5.8039
Antananarivo,-18.91,47.525
Canagatan,18,121.8
Soweto,-26.2678,27.8585
Providence,41.823,-71.4187
Xiantao,30.328,113.443
Jabalpur,23.1667,79.9333
Huaiyin,33.5819,119.028
Yutan,28.278,112.552
Kazan,55.7964,49.1089
Bagam,1.13,104.0531
Dayan,26.8552,100.2259
Comayagüela,14.098,-87.21
Brussels,50.8467,4.3525
Laiwu,36.1833,117.6667
Huazhou,32.688,112.087
Sharjah,25.3575,55.3908
Kalyān,19.24,73.13
Rucheng,32.246,120.591
Barquisimeto,10.0636,-69.3347
Yongcheng,33.9299,116.45
Sumedang,-6.84,107.9208
Cần Thơ,10.0333,105.7833
Suwon,37.2667,127.0167
Yiwu,29.3069,120.0753
Vasai-Virar,19.47,72.8
Campinas,-22.9009,-47.0573
Dadukou,26.5824,101.7184
Lingcheng,22.708,110.354
Shuangyashan,46.6762,131.1416
Nizhniy Novgorod,56.3269,44.0075
Pānīpat,29.3875,76.97
Qom,34.64,50.8764
Mombasa,-4.05,39.6667
Hargeysa,9.56,44.065
Baidoa,3.1167,43.65
Vārānasi,25.3189,83.0128
Hiroshima,34.3914,132.4519
Chiang Mai,18.7953,98.9986
Belgrade,44.8178,20.4569
Maiduguri,11.8372,13.1542
Kalleli,9.2807,76.8697
Batam Centre,1.1272,104.0556
Pingdu,36.7769,119.9884
Rongcheng,26.218,104.103
Mbandaka,0.0478,18.2558
Xinyu,27.8186,114.9167
Doha,25.2867,51.5333
Shymkent,42.3167,69.5958
Tripoli,32.8872,13.1914
Srīnagar,34.09,74.79
Nashville,36.1715,-86.7842
Chelyabinsk,55.1547,61.3758
Aurangābād,19.88,75.32
Cilacap,-7.7167,109.017
Xinhualu,34.3964,113.7402
Salt Lake City,40.7776,-111.9311
Guankou,28.1637,113.6433
Bandar Lampung,-5.45,105.2667
Dhanbād,23.7998,86.4305
Nay Pyi Taw,19.7475,96.115
Aba,5.1167,7.3667
Jingling,30.664,113.167
Zhuji,29.7167,120.2333
Tegucigalpa,14.1057,-87.204
Kigali,-1.9536,30.0606
Samara,53.2028,50.1408
Yingtan,28.2721,117.0395
Edmonton,53.5344,-113.4903
Raleigh,35.8324,-78.6429
Bishkek,42.8667,74.5667
Bujumbura,-3.3833,29.3667
Guyuan,36.01,106.257
Leiyang,26.4223,112.8598
Krasnodar,45.0333,38.9667
Rostov,47.2225,39.71
Maputo,-25.9153,32.5764
Bukavu,-2.5061,28.8608
Amritsar,31.64,74.86
Shagamu,6.8333,3.65
Alīgarh,27.88,78.08
Zhangye,38.9248,100.4499
Ufa,54.7261,55.9475
Santo Domingo,18.4764,-69.8933
Ulsan,35.55,129.3167
Rongcheng,29.8402,112.9048
Tbilisi,41.7225,44.7925
Guwāhāti,26.1722,91.7458
Fès,34.0433,-5.0033
Yingchuan,34.142,113.489
Ninh Bình,20.25,105.8333
Yerevan,40.1814,44.5144
Mwanza,-2.5167,32.9
Omsk,54.9833,73.3667
Mexicali,32.6633,-115.4678
Sevilla,37.39,-5.99
Ikare,7.5167,5.75
Dingzhou,38.516,114.99
Tamale,9.4075,-0.8533
Yuyao,30.05,121.15
Goiânia,-16.6806,-49.2564
Krasnoyarsk,56.0089,92.8719
Cologne,50.9364,6.9528
Ubungo,-6.7889,39.2056
Yicheng,31.36,119.815
Richmond,37.5295,-77.4756
Kisangani,0.5167,25.2
Ezhou,30.3914,114.8949
Astana,51.1472,71.4222
Zhufeng,36,119.4167
Nezahualcóyotl,19.4081,-99.0186
Nouakchott,18.0858,-15.9785
Hāora,22.58,88.3294
Tongjin,37.2333,127.2
Rānchi,23.36,85.33
Ciudad Nezahualcóyotl,19.4006,-99.0148
Gwalior,26.2125,78.1775
Ottawa,45.4247,-75.695
Haicheng,40.8824,122.6852
Jianguang,28.1958,115.7833
Goyang,37.65,126.8
Sendai,38.2682,140.8694
Xibeijie,39.7334,98.4943
Chandīgarh,30.75,76.78
Voronezh,51.6717,39.2106
Managua,12.1364,-86.2514
Zhongwei,37.5002,105.1968
Jiancheng,30.38,104.53
Mersin,36.8,34.6333
Shouguang,36.857,118.791
Liangshi,27.26,111.7442
São Luís,-2.53,-44.3028
Jodhpur,26.28,73.02
Memphis,35.1087,-89.9663
Matola,-25.9667,32.4667
Ogbomoso,8.1333,4.25
Sanya,18.2533,109.5036
Rangapukur,25.5206,89.2147
Ashgabat,37.9375,58.38
Enugu,6.5,7.5
Linhai,28.85,121.1167
Perm,58,56.3167
Shubrā al Khaymah,30.1286,31.2422
Monrovia,6.3133,-10.8014
Islamabad,33.6931,73.0639
Xinyi,22.3549,110.9468
Thủ Đức,10.8266,106.7609
Āqchah,36.9114,66.1858
Odesa,46.492,30.7081
Raipur,21.2444,81.6306
Namangan,41.0011,71.6683
Changwon,35.2708,128.6631
Arequipa,-16.3989,-71.5369
Tshikapa,-6.4167,20.8
Volgograd,48.7086,44.5147
Morelia,19.7683,-101.1894
Kota,25.18,75.83
Quetta,30.1833,67
Oklahoma City,35.4676,-97.5136
Domaa-Ahenkro,7.2739,-2.8735
Bareilly,28.3667,79.4306
Liaoyuan,42.888,125.1447
Stockholm,59.3275,18.0547
Bordeaux,44.84,-0.58
Taixing,32.159,120.029
Lilongwe,-13.9669,33.7873
Port-au-Prince,18.5425,-72.3386
Esenyurt,41.0342,28.68
Pekanbaru,0.5092,101.4453
Bogor,-6.5966,106.7972
Ciudad Guayana,8.3667,-62.65
Chiba,35.6073,140.1064
Kirkuk,35.4667,44.4
Shuizhai,33.4658,114.8753
Qianxi,27.0087,106.0323
Hartford,41.7661,-72.6834
Dnipro,48.4675,35.04
Baishan,41.944,126.4147
Nārāyanganj,23.6167,90.5
Gqeberha,-33.9581,25.6
Huilong,31.87,121.703
Málaga,36.7194,-4.42
Marrakech,31.63,-8.0089
Louisville,38.1663,-85.6485
Cebu City,10.32,123.75
Asmara,15.3358,38.9411
Coimbatore,11.0008,76.9633
Maceió,-9.6658,-35.735
Nada,19.5209,109.5808
Fangchenggang,21.6867,108.3547
Solāpur,17.68,75.92
Freetown,8.4833,-13.2331
Kaiyuan,36.0193,113.86
Buffalo,42.9018,-78.8487
Santo Domingo Este,18.4855,-69.8734
Vientiane,17.98,102.63
Kermānshāh,34.3369,47.0911
Kibanseke Première,-4.4419,15.395
Seberang Jaya,5.3909,100.4104
Sale,34.0333,-6.8
Hubli,15.3502,75.1376
El Alto,-16.5047,-68.1633
Çankaya,39.9244,32.8856
Hwasu-dong,37.1997,126.8314
Yingcheng,24.21,113.401
Fort Worth,32.7817,-97.3474
Setagaya,35.6466,139.6532
Keçiören,40,32.8667
Luocheng,22.7689,111.5697
Jerusalem,31.7789,35.2256
Khartoum North,15.6333,32.6333
Meishan,34.167,112.844
Mushin,6.5333,3.35
Trujillo,-8.112,-79.0288
Kitakyūshū,33.8833,130.8833
Aguascalientes,21.876,-102.296
Khulna,22.8167,89.55
Chihuahua,28.6369,-106.0769
Bridgeport,41.1918,-73.1954
Xin’an,34.286,118.355
Mysore,12.3086,76.6531
Kashgar,39.4681,75.9938
Sŏngnam,37.4333,127.15
New Orleans,30.0687,-89.9288
Trichinopoly,10.7903,78.7047
Cartagena,10.4,-75.5
Qingzhou,36.6853,118.4796
Naples,40.8358,14.2486
Santiago del Estero,-27.7833,-64.2667
Naucalpan de Juárez,19.4753,-99.2378
Masbate,12.27,123.58
Owerri,5.485,7.035
Taishan,22.252,112.794
Jiaozhou,36.2647,120.0334
Wuchuan,21.441,110.779
Wafangdian,39.6271,121.9796
La Plata,-34.9211,-57.9544
Bobo-Dioulasso,11.1833,-4.2833
Ad Dammām,26.4333,50.1
Hanchuan,30.6667,113.8333
Quzhou,28.9702,118.8593
Donetsk,48.0028,37.8053
Ashmūn,30.2974,30.9764
Bunia,1.5667,30.25
Wuchang,44.924,127.158
São Gonçalo,-22.8269,-43.0539
Hengzhou,22.6799,109.2614
Feicheng,36.1861,116.7719
Bucaramanga,7.1333,-73
Cazenga,-8.8214,13.2911
Mérida,20.9667,-89.6167
Hegang,47.3501,130.298
Osmangazi,40.1983,29.06
Morādābād,28.8319,78.7764
Bangui,4.3733,18.5628
Abeokuta,7.1608,3.3483
Cancún,21.1606,-86.8475
Zaoyang,32.129,112.772
Dongtai,32.795,120.519
Antipolo,14.5842,121.1763
Taguig City,14.52,121.05
Tabūk,28.3972,36.5789
Xishan,27.6461,113.497
Zhoushan,29.9856,122.2074
Panama City,8.9711,-79.5347
Tucson,32.1541,-110.8787
Yichun,47.728,128.841
As Sulaymānīyah,35.55,45.4333
Klang,3.0223,101.5481
Tiruppūr,11.1085,77.3411
Marseille,43.2964,5.37
Gurgaon,28.456,77.029
Yangchun,22.1704,111.7916
Ar Ramādī,33.4258,43.2992
Hai’an,32.535,120.563
Jalandhar,31.326,75.5762
Daye,30.0961,114.9804
Zhongxiang,31.168,112.588
Gaomi,36.3833,119.75
Teresina,-5.0903,-42.8167
Lhasa,29.6534,91.1719
Ipoh,4.6,101.065
Saltillo,25.4231,-100.9919
Aden,12.8,45.0333
El Paso,31.8476,-106.43
Gongzhuling,43.5053,124.8224
Lianyuan,27.692,111.664
Ikeja,6.6,3.35
Tyumen,57.15,65.5333
Cochabamba,-17.3883,-66.1597
Portsmouth,50.8058,-1.0872
Southampton,50.9025,-1.4042
Hermosillo,29.0989,-110.9542
Cheongju,36.6333,127.4833
Shache,38.4261,77.25
Thanh Hóa,19.8075,105.7764
Macheng,31.173,115.008
Akure,7.25,5.195
Ilorin,8.5,4.55
Erbil,36.1911,44.0094
Kathmandu,27.71,85.32
Turin,45.0792,7.6761
Anqiu,36.478,119.219
Yuci,37.6823,112.7281
