citation,term,chief,case_name,lean,maj_votes,min_votes,issue,issue_description
4 U.S. 8,1799,Ellsworth,"TURNER, ADMINISTRATOR OF STANLEY, PLAINTIFF IN ERROR, VERSUS THE PRESIDENT, DIRECTORS, AND COMPANY, OF THE BANK OF NORTH-AMERICA, DEFENDANTS",conservative,6,0,90400,"judicial administration: federal question (cf. no merits: dismissed for want of a substantial or properly presented federal question)
Note: jurisdiction of the federal courts or of the Supreme Court"
4 U.S. 12,1800,Ellsworth,"MOSSMAN, SURVIVING EXECUTOR, PLAINTIFF IN ERROR, VERSUS HIGGINSON, SURVIVING PARTNER, DEFENDANT IN ERROR",conservative,4,0,90400,"judicial administration: federal question (cf. no merits: dismissed for want of a substantial or properly presented federal question)
Note: jurisdiction of the federal courts or of the Supreme Court"
4 U.S. 14,1800,Ellsworth,COOPER VERSUS TELFAIR,conservative,5,0,40070,"due process: takings clause, or other non-constitutional governmental taking of property"
4 U.S. 20,1800,Ellsworth,"WILLIAMSON, PLAINTIFF IN ERROR, VERSUS KINCAID",liberal,5,0,90510,"Supreme Court's certiorari, writ of error, or appeals jurisdiction
Note: jurisdiction of the federal courts or of the Supreme Court"
4 U.S. 21,1800,Ellsworth,"BLAIR et al. PLAINTIFFS IN ERROR, VERSUS MILLER et al.",conservative,6,0,90510,"Supreme Court's certiorari, writ of error, or appeals jurisdiction
Note: jurisdiction of the federal courts or of the Supreme Court"
4 U.S. 22,1800,Ellsworth,"RUTHERFORD et al. PLAINTIFFS IN ERROR, VERSUS FISHER et al.",conservative,5,0,90380,"judicial administration: review of non-final order
Note: jurisdiction of the federal courts or of the Supreme Court"
4 U.S. 28,1800,Ellsworth,"PRIESTMAN, PLAINTIFF IN ERROR, VERSUS THE UNITED STATES",liberal,4,0,80230,federal and some few state regulations of transportation regulation: boat
4 U.S. 37,1800,Ellsworth,"BAS, PLAINTIFF IN ERROR, VERSUS TINGY, DEFENDANT IN ERROR",liberal,6,0,80230,federal and some few state regulations of transportation regulation: boat
5 U.S. 103,1801,Marshall,UNITED STATES v. SCHOONER PEGGY,liberal,6,0,80230,federal and some few state regulations of transportation regulation: boat
5 U.S. 110,1801,Marshall,JACOB RESLER v. JAMES SHEHEE,conservative,6,0,90090,"comity primarily removal cases, civil procedure (cf. comity, criminal and First Amendment); deference to foreign judicial tribunals
Note: propriety of federal court deference to ongoing state judicial or state or federal quasi-judicial proceedings, the abstention doctrine, exhaustion of state provided remedies"
5 U.S. 117,1801,Marshall,TURNER v. FENDALL,conservative,6,0,90100,assessment of costs or damages: as part of a court order
5 U.S. 137,1803,Marshall,"WILLIAM MARBURY v. JAMES MADISON, SECRETARY OF STATE OF THE UNITED STATES",conservative,6,0,90370,"judicial administration: Supreme Court's original jurisdiction
Note: jurisdiction of the federal courts or of the Supreme Court"
5 U.S. 212,1803,Marshall,CLARKE v. BAZADONE,conservative,6,0,90510,"Supreme Court's certiorari, writ of error, or appeals jurisdiction
Note: jurisdiction of the federal courts or of the Supreme Court"
5 U.S. 239,1803,Marshall,"GABRIEL WOOD, ORIGINAL DEFENDANT, v. WILLIAM OWINGS AND JOB SMITH, ASSIGNEES OF WILLIAM ROBB, A BANKRUPT, ORIGINAL PLAINTIFF",liberal,6,0,80030,bankruptcy (except in the context of priority of federal fiscal claims)
5 U.S. 252,1803,Marshall,UNITED STATES v. SIMMS,conservative,6,0,90090,"comity primarily removal cases, civil procedure (cf. comity, criminal and First Amendment); deference to foreign judicial tribunals
Note: propriety of federal court deference to ongoing state judicial or state or federal quasi-judicial proceedings, the abstention doctrine, exhaustion of state provided remedies"
5 U.S. 259,1803,Marshall,FENWICK v. SEARS'S ADMINISTRATORS,conservative,6,0,90320,"judicial administration: jurisdiction or authority of federal district courts or territorial courts
Note: jurisdiction of the federal courts or of the Supreme Court (cf. no merits: dismissed for want of jurisdiction)"
5 U.S. 282,1803,Marshall,THOMPSON v. JAMESON,liberal,6,0,20100,debtors' rights
5 U.S. 299,1803,Marshall,STUART v. LAIRD,conservative,4,0,90320,"judicial administration: jurisdiction or authority of federal district courts or territorial courts
Note: jurisdiction of the federal courts or of the Supreme Court (cf. no merits: dismissed for want of jurisdiction)"
5 U.S. 318,1803,Marshall,UNITED STATES v. R. T. HOOE AND OTHERS,conservative,6,0,90320,"judicial administration: jurisdiction or authority of federal district courts or territorial courts
Note: jurisdiction of the federal courts or of the Supreme Court (cf. no merits: dismissed for want of jurisdiction)"
5 U.S. 332,1803,Marshall,"MARINE INSURANCE COMPANY, OF ALEXANDRIA, v. JAMES YOUNG",conservative,6,0,80070,"liability, other than as in sufficiency of evidence, election of remedies, punitive damages"
5 U.S. 345,1803,Marshall,HODGSON v. DEXTER,conservative,6,0,80060,"liability, governmental: tort or contract actions by or against government or governmental officials other than defense of criminal actions brought under a civil rights action."
5 U.S. 365,1803,Marshall,LLOYD v. ALEXANDER et al.,conservative,6,0,90510,"Supreme Court's certiorari, writ of error, or appeals jurisdiction
Note: jurisdiction of the federal courts or of the Supreme Court"
6 U.S. 126,1804,Marshall,CAPRON v. VAN NOORDEN,liberal,4,0,90320,"judicial administration: jurisdiction or authority of federal district courts or territorial courts
Note: jurisdiction of the federal courts or of the Supreme Court (cf. no merits: dismissed for want of jurisdiction)"
6 U.S. 170,1804,Marshall,LITTLE et al. v. BARREME et al.,conservative,4,0,130015,"executive authority vis-a-vis congress or the states
Note: prior to 2014 Release 01, id = 100035"
6 U.S. 180,1804,Marshall,DUNLOP & CO. v. BALL,liberal,4,0,90480,"judicial administration: untimely filing
Note: jurisdiction of the federal courts or of the Supreme Court"
6 U.S. 187,1804,Marshall,CHURCH v. HUBBART,liberal,4,0,80070,"liability, other than as in sufficiency of evidence, election of remedies, punitive damages"
6 U.S. 272,1804,Marshall,"OGDEN, ADMINISTRATOR OF CORNELL, v. BLACKLEDGE, EXECUTOR OF SALTER",liberal,4,0,90480,"judicial administration: untimely filing
Note: jurisdiction of the federal courts or of the Supreme Court"
6 U.S. 280,1804,Marshall,MCILVAINE v. COXE'S LESSEE,conservative,4,0,20280,"immigration and naturalization: loss of citizenship, denaturalization
Note: cf. statutory construction of criminal laws: immigration, deportation, and employability of aliens"
6 U.S. 33,1804,Marshall,PENNINGTON v. COXE,conservative,4,0,120010,"federal taxation, typically under provisions of the Internal Revenue Code
Note: except as pertains to federal taxation of gifts or priority of federal fiscal claims"
6 U.S. 64,1804,Marshall,"ALEXANDER MURRAY, ESQ. v. SCHOONER CHARMING BETSY",liberal,4,0,80060,"liability, governmental: tort or contract actions by or against government or governmental officials other than defense of criminal actions brought under a civil rights action."
6 U.S. 9,1804,Marshall,WOOD v. WAGNON,conservative,4,0,90520,"miscellaneous judicial power, especially diversity jurisdiction"
6 U.S. 336,1805,Marshall,"ADAMS, QUI TAM, v. WOODS",liberal,4,0,90480,"judicial administration: untimely filing
Note: jurisdiction of the federal courts or of the Supreme Court"
6 U.S. 342,1805,Marshall,WINCHESTER v. HACKLEY,liberal,4,0,20100,debtors' rights
6 U.S. 344,1805,Marshall,"REILY, APPELLANT v. LAMAR, BEALL, AND SMITH, APPELLEES",conservative,4,0,80030,bankruptcy (except in the context of priority of federal fiscal claims)
6 U.S. 358,1805,Marshall,"THE UNITED STATES v. FISHER et al. ASSIGNEES OF BLIGHT, A BANKRUPT",liberal,4,0,120030,priority of federal fiscal claims: over those of the states or private entities
6 U.S. 407,1805,Marshall,"TELFAIR et al. EXECUTORS OF RAE & SOMMERVILLE, v. STEAD'S EXECUTORS",conservative,4,0,20100,debtors' rights
6 U.S. 445,1805,Marshall,HEPBURN AND DUNDAS v. ELLZEY,conservative,4,0,90320,"judicial administration: jurisdiction or authority of federal district courts or territorial courts
Note: jurisdiction of the federal courts or of the Supreme Court (cf. no merits: dismissed for want of jurisdiction)"
7 U.S. 159,1805,Marshall,UNITED STATES v. BENJAMIN MORE,conservative,6,0,60010,attorneys' and governmental employees' or officials' fees or compensation or licenses
7 U.S. 174,1805,Marshall,FAW v. ROBERDEAU'S EXECUTOR,conservative,6,0,20100,debtors' rights
7 U.S. 179,1805,Marshall,RAY v. LAW,liberal,6,0,90380,"judicial administration: review of non-final order
Note: jurisdiction of the federal courts or of the Supreme Court"
7 U.S. 187,1805,Marshall,THE MARINE INSURANCE COMPANY OF ALEXANDRIA v. WILSON,liberal,5,0,80070,"liability, other than as in sufficiency of evidence, election of remedies, punitive damages"
7 U.S. 210,1805,Marshall,HALLET AND BOWNE v. JENKS AND OTHERS,conservative,6,0,80070,"liability, other than as in sufficiency of evidence, election of remedies, punitive damages"
7 U.S. 73,1805,Marshall,"THE UNITED STATES v. HOOE, et al.",conservative,5,0,120030,priority of federal fiscal claims: over those of the states or private entities
7 U.S. 92,1805,Marshall,PEYTON v. BROOKE,liberal,6,0,90100,assessment of costs or damages: as part of a court order
7 U.S. 241,1806,Marshall,DOBYNES & MORTON v. UNITED STATES,conservative,4,0,140050,civil procedure
7 U.S. 242,1806,Marshall,HANNAY v. EVE,conservative,4,0,80070,"liability, other than as in sufficiency of evidence, election of remedies, punitive damages"
7 U.S. 267,1806,Marshall,STRAWBRIDGE et al. v. CURTISS et al.,conservative,4,0,90520,"miscellaneous judicial power, especially diversity jurisdiction"
7 U.S. 268,1806,Marshall,GORDON v. CALDCLEUGH et al.,conservative,4,0,90350,"judicial administration: Supreme Court jurisdiction or authority on appeal or writ of error, from highest state court
Note: jurisdiction of the federal courts or of the Supreme Court"
7 U.S. 293,1806,Marshall,BUDDICUM v. KIRK,conservative,5,0,40020,"due process: hearing or notice (other than as pertains to government employees or prisoners' rights)
Note: hearing may be statutorily based"
7 U.S. 300,1806,Marshall,SIMMS AND WISE v. SLACUM,liberal,4,1,20100,debtors' rights
7 U.S. 324,1806,Marshall,SCOTT v. NEGRO LONDON,conservative,5,0,20075,slavery or indenture
7 U.S. 331,1806,Marshall,WISE v. WITHERS,liberal,5,0,20230,"military: draftee, or person subject to induction
Note: cf. conscientious objectors and comity: military"
7 U.S. 337,1806,Marshall,THE UNITED STATES v. GRUNDY AND THORNBURGH,conservative,5,0,80050,election of remedies: legal remedies available to injured persons or things
7 U.S. 357,1806,Marshall,THE MARINE INSURANCE COMPANY OF ALEXANDRIA v. JOHN AND JAMES H. TUCKER,conservative,4,0,80070,"liability, other than as in sufficiency of evidence, election of remedies, punitive damages"
7 U.S. 399,1806,Marshall,THE UNITED STATES v. HETH,conservative,4,0,80060,"liability, governmental: tort or contract actions by or against government or governmental officials other than defense of criminal actions brought under a civil rights action."
7 U.S. 448,1806,Marshall,ex parte BURFORD,liberal,5,0,10020,habeas corpus
7 U.S. 454,1806,Marshall,HOPKIRK v. BELL,liberal,5,0,100030,federal pre-emption of state legislation or regulation. cf. state regulation of business. rarely involves union activity. Does not involve constitutional interpretation unless the Court says it does.
7 U.S. 458,1806,Marshall,WILLIAM MALEY v. JARED SHATTUCK,liberal,5,0,80070,"liability, other than as in sufficiency of evidence, election of remedies, punitive damages"
7 U.S. 499,1806,Marshall,SANDS v. KNOX,conservative,5,0,80230,federal and some few state regulations of transportation regulation: boat
8 U.S. 1,1807,Marshall,THE UNITED STATES v. KID AND WATSON,conservative,6,0,80350,miscellaneous economic regulation
8 U.S. 167,1807,Marshall,THE UNITED STATES v. ZEBULON CANTRIL,liberal,6,0,10450,"statutory construction of criminal laws: fraud
Note: these codes, by definition exclude the constitutionality of these laws"
8 U.S. 169,1807,Marshall,STHRESHLEY AND OBANNON v. THE UNITED STATES,conservative,6,0,120010,"federal taxation, typically under provisions of the Internal Revenue Code
Note: except as pertains to federal taxation of gifts or priority of federal fiscal claims"
8 U.S. 179,1807,Marshall,DIGGS AND KEITH v. WOLCOTT,conservative,6,0,90090,"comity primarily removal cases, civil procedure (cf. comity, criminal and First Amendment); deference to foreign judicial tribunals
Note: propriety of federal court deference to ongoing state judicial or state or federal quasi-judicial proceedings, the abstention doctrine, exhaustion of state provided remedies"
8 U.S. 2,1807,Marshall,JENNINGS v. CARSON,conservative,6,0,90320,"judicial administration: jurisdiction or authority of federal district courts or territorial courts
Note: jurisdiction of the federal courts or of the Supreme Court (cf. no merits: dismissed for want of jurisdiction)"
8 U.S. 237,1807,Marshall,WOODS & BEMIS v. YOUNG,conservative,6,0,90160,"no merits: dismissed or affirmed for want of a substantial or properly presented federal question, or a nonsuit 
Note: use only if the syllabus or the summary holding specifies one of the following bases."
8 U.S. 29,1807,Marshall,RHINELANDER v. THE INSURANCE COMPANY OF PENNSYLVANIA,liberal,6,0,80070,"liability, other than as in sufficiency of evidence, election of remedies, punitive damages"
8 U.S. 293,1807,Marshall,HUDSON AND OTHERS v. GUESTIER,conservative,4,2,90090,"comity primarily removal cases, civil procedure (cf. comity, criminal and First Amendment); deference to foreign judicial tribunals
Note: propriety of federal court deference to ongoing state judicial or state or federal quasi-judicial proceedings, the abstention doctrine, exhaustion of state provided remedies"
8 U.S. 316,1807,Marshall,THE UNITED STATES v. M'DOWEL,conservative,6,0,90340,"judicial administration: Supreme Court jurisdiction or authority on appeal or writ of error, from federal district courts or courts of appeals (cf. 753)
Note: jurisdiction of the federal courts or of the Supreme Court"
8 U.S. 317,1807,Marshall,THE MAYOR AND COMMONALTY OF ALEXANDRIA v. PATTEN AND OTHERS,liberal,6,0,80050,election of remedies: legal remedies available to injured persons or things
8 U.S. 324,1807,Marshall,MOUNTZ AND OTHERS v. HODGSON AND THOMPSON,conservative,6,0,90350,"judicial administration: Supreme Court jurisdiction or authority on appeal or writ of error, from highest state court
Note: jurisdiction of the federal courts or of the Supreme Court"
8 U.S. 333,1807,Marshall,THE UNITED STATES v. GURNEY AND OTHER,liberal,6,0,140030,contracts
8 U.S. 347,1807,Marshall,PEISCH AND OTHERS v. WARE AND OTHERS,conservative,6,0,120040,miscellaneous federal taxation (cf. national supremacy: state tax)
8 U.S. 370,1807,Marshall,ALEXANDER v. THE BALTIMORE INSURANCE COMPANY,conservative,6,0,80070,"liability, other than as in sufficiency of evidence, election of remedies, punitive damages"
8 U.S. 382,1807,Marshall,MATTHEWS v. ZANE,liberal,6,0,90350,"judicial administration: Supreme Court jurisdiction or authority on appeal or writ of error, from highest state court
Note: jurisdiction of the federal courts or of the Supreme Court"
8 U.S. 384,1807,Marshall,YOUNG v. THE BANK OF ALEXANDRIA,liberal,6,0,100020,"federal pre-emption of state court jurisdiction
Note: almost always found in the context of labor union activity. Does not involve constitutional interpretation. Rests rather on a primary jurisdiction rationale"
8 U.S. 434,1807,Marshall,CROUDSON AND OTHERS v. LEONARD,liberal,4,2,80070,"liability, other than as in sufficiency of evidence, election of remedies, punitive damages"
8 U.S. 46,1807,Marshall,MONTALET v. MURRA,conservative,4,0,90170,"no merits: dismissed or affirmed for want of jurisdiction (cf. judicial administration: Supreme Court jurisdiction or authority on appeal from federal district courts or courts of appeals)
Note: use only if the syllabus or the summary holding specifies one of the following bases."
8 U.S. 48,1807,Marshall,THE UNITED STATES v. WILLINGS AND FRANCIS,conservative,4,0,80230,federal and some few state regulations of transportation regulation: boat
8 U.S. 73,1807,Marshall,PENDLETON AND WEBB v. WAMBERSIE et al.,liberal,6,0,10160,"discovery and inspection (in the context of criminal litigation only, otherwise Freedom of Information Act and related federal or state statutes or regulations)"
8 U.S. 75,1807,Marshall,ex parte BOLLMAN,liberal,3,1,10020,habeas corpus
8 U.S. 185,1808,Marshall,FITZSIMMONS v. THE NEWPORT INSURANCE COMPANY,liberal,7,0,80070,"liability, other than as in sufficiency of evidence, election of remedies, punitive damages"
8 U.S. 202,1808,Marshall,MARSHALL v. THE DELAWARE INSURANCE COMPANY,conservative,7,0,80070,"liability, other than as in sufficiency of evidence, election of remedies, punitive damages"
8 U.S. 209,1808,Marshall,MCILVAINE v. COXE'S LESSEE,liberal,5,0,20220,"residency requirements: durational, plus discrimination against nonresidents"
8 U.S. 241,1808,Marshall,ROSE v. HIMELY,liberal,5,1,90090,"comity primarily removal cases, civil procedure (cf. comity, criminal and First Amendment); deference to foreign judicial tribunals
Note: propriety of federal court deference to ongoing state judicial or state or federal quasi-judicial proceedings, the abstention doctrine, exhaustion of state provided remedies"
8 U.S. 443,1808,Marshall,"THE UNITED STATES v. THE SCHOONER BETSEY AND CHARLOTTE, AND HER CARGO",liberal,6,0,80060,"liability, governmental: tort or contract actions by or against government or governmental officials other than defense of criminal actions brought under a civil rights action."
9 U.S. 321,1808,Marshall,WELSH v. MANDEVILLE AND JAMESSON,liberal,7,0,40020,"due process: hearing or notice (other than as pertains to government employees or prisoners' rights)
Note: hearing may be statutorily based"
10 U.S. 52,1809,Marshall,"WILSON, ex parte",conservative,5,0,10020,habeas corpus
10 U.S. 86,1809,Marshall,RIDDLE AND COMPANY v. MANDEVILLE AND JAMESSON,conservative,5,0,90330,"judicial administration: jurisdiction or authority of federal courts of appeals
Note: jurisdiction of the federal courts or of the Supreme Court"
9 U.S. 1,1809,Marshall,THE UNITED STATES v. WEEKS,conservative,7,0,90510,"Supreme Court's certiorari, writ of error, or appeals jurisdiction
Note: jurisdiction of the federal courts or of the Supreme Court"
9 U.S. 100,1809,Marshall,HODGSON v. THE MARINE INSURANCE COMPANY OF ALEXANDRIA,liberal,6,0,80070,"liability, other than as in sufficiency of evidence, election of remedies, punitive damages"
9 U.S. 11,1809,Marshall,HENDERSON v. MOORE,liberal,7,0,20100,debtors' rights
9 U.S. 115,1809,Marshall,THE UNITED STATES v. JUDGE PETERS,liberal,7,0,100050,"national supremacy: commodities
Note: in the context of federal-state conflicts involving the general welfare, supremacy, or interstate commerce clauses, the 11th or 21st Amendments, or the enforcement clause of the 14th Amendment. Distinguishable from federal pre-emption because of a constitutional basis for decision."
9 U.S. 13,1809,Marshall,COOKE AND OTHERS v. WOODROW,liberal,7,0,80040,sufficiency of evidence: typically in the context of a jury's determination of compensation for injury or death
9 U.S. 154,1809,Marshall,PIERCE v. TURNER,liberal,6,1,20100,debtors' rights
9 U.S. 173,1809,Marshall,KEMPE'S LESSEE v. KENNEDY et al.,conservative,7,0,90020,"comity: criminal procedure
Note: propriety of federal court deference to ongoing state judicial or state or federal quasi-judicial proceedings, the abstention doctrine, exhaustion of state provided remedies"
9 U.S. 187,1809,Marshall,THE MARINE INSURANCE COMPANY OF ALEXANDRIA v. JAMES YOUNG,liberal,7,0,10330,"subconstitutional fair procedure: presentation, admissibility, or sufficiency of evidence (not necessarily a criminal case)
Note: nonsubstantive rules and procedures pertaining to the administration of justice that do not rise to the level of a constitutional matter. This is the residual category insofar as criminal procedure is concerned. Note that this issue need not necessarily pertain to a criminal action. If the case involves an indigent, consider indigent categories."
9 U.S. 19,1809,Marshall,FAIRFAX'S EXECUTOR v. ANN FAIRFAX,liberal,7,0,80040,sufficiency of evidence: typically in the context of a jury's determination of compensation for injury or death
9 U.S. 257,1809,Marshall,THE UNITED STATES v. JOHN ARTHUR AND ROBERT PATTERSON,conservative,7,0,90320,"judicial administration: jurisdiction or authority of federal district courts or territorial courts
Note: jurisdiction of the federal courts or of the Supreme Court (cf. no merits: dismissed for want of jurisdiction)"
9 U.S. 280,1809,Marshall,THE UNITED STATES v. EVANS,conservative,7,0,90510,"Supreme Court's certiorari, writ of error, or appeals jurisdiction
Note: jurisdiction of the federal courts or of the Supreme Court"
9 U.S. 281,1809,Marshall,"YEATON AND OTHERS, CLAIMANTS OF THE SCHOONER GENERAL PINKNEY AND CARGO, v. THE UNITED STATES",conservative,7,0,90460,"judicial administration: collateral estoppel or res judicata
Note: jurisdiction of the federal courts or of the Supreme Court"
9 U.S. 284,1809,Marshall,THE UNITED STATES v. POTTS AND OTHERS,conservative,7,0,120010,"federal taxation, typically under provisions of the Internal Revenue Code
Note: except as pertains to federal taxation of gifts or priority of federal fiscal claims"
9 U.S. 287,1809,Marshall,RUSH v. PARKER,conservative,7,0,90170,"no merits: dismissed or affirmed for want of jurisdiction (cf. judicial administration: Supreme Court jurisdiction or authority on appeal from federal district courts or courts of appeals)
Note: use only if the syllabus or the summary holding specifies one of the following bases."
9 U.S. 288,1809,Marshall,LOGAN v. PATRICK,liberal,7,0,90330,"judicial administration: jurisdiction or authority of federal courts of appeals
Note: jurisdiction of the federal courts or of the Supreme Court"
9 U.S. 289,1809,Marshall,RODFORD v. CRAIG,conservative,7,0,90160,"no merits: dismissed or affirmed for want of a substantial or properly presented federal question, or a nonsuit 
Note: use only if the syllabus or the summary holding specifies one of the following bases."
9 U.S. 304,1809,Marshall,KEENE v. THE UNITED STATES,liberal,7,0,90520,"miscellaneous judicial power, especially diversity jurisdiction"
9 U.S. 311,1809,Marshall,THE UNITED STATES v. RIDDLE,liberal,7,0,10450,"statutory construction of criminal laws: fraud
Note: these codes, by definition exclude the constitutionality of these laws"
9 U.S. 34,1809,Marshall,"JOHN AND JAMES TUCKER v. OXLEY, ASSIGNEE OF T. MOORE, A BANKRUPT",conservative,7,0,80030,bankruptcy (except in the context of priority of federal fiscal claims)
9 U.S. 344,1809,Marshall,OWINGS v. NORWOOD'S LESSEE,conservative,7,0,90510,"Supreme Court's certiorari, writ of error, or appeals jurisdiction
Note: jurisdiction of the federal courts or of the Supreme Court"
9 U.S. 358,1809,Marshall,BRENT v. CHAPMAN,conservative,7,0,100030,federal pre-emption of state legislation or regulation. cf. state regulation of business. rarely involves union activity. Does not involve constitutional interpretation unless the Court says it does.
9 U.S. 363,1809,Marshall,SLACUM v. SIMMS AND WISE,liberal,7,0,40050,due process: impartial decision maker
9 U.S. 368,1809,Marshall,THE UNITED STATES v. VOWELL AND M'CLEAN,conservative,7,0,120010,"federal taxation, typically under provisions of the Internal Revenue Code
Note: except as pertains to federal taxation of gifts or priority of federal fiscal claims"
9 U.S. 372,1809,Marshall,SLOOP SALLY v. THE UNITED STATES,conservative,7,0,90340,"judicial administration: Supreme Court jurisdiction or authority on appeal or writ of error, from federal district courts or courts of appeals (cf. 753)
Note: jurisdiction of the federal courts or of the Supreme Court"
9 U.S. 57,1809,Marshall,THE HOPE INSURANCE COMPANY OF PROVIDENCE v. BOARDMAN et al.,conservative,7,0,90170,"no merits: dismissed or affirmed for want of jurisdiction (cf. judicial administration: Supreme Court jurisdiction or authority on appeal from federal district courts or courts of appeals)
Note: use only if the syllabus or the summary holding specifies one of the following bases."
9 U.S. 61,1809,Marshall,THE BANK OF THE UNITED STATES v. DEVEAUX et al.,liberal,6,0,90520,"miscellaneous judicial power, especially diversity jurisdiction"
10 U.S. 171,1810,Marshall,THE UNITED STATES v. HALL AND WORTH,conservative,5,0,80060,"liability, governmental: tort or contract actions by or against government or governmental officials other than defense of criminal actions brought under a civil rights action."
10 U.S. 176,1810,Marshall,CAMPBELL v. GORDON AND WIFE,liberal,5,0,20270,"immigration and naturalization: citizenship
Note: cf. statutory construction of criminal laws: immigration, deportation, and employability of aliens"
10 U.S. 187,1810,Marshall,KENNEDY v. BRENT,liberal,5,0,40020,"due process: hearing or notice (other than as pertains to government employees or prisoners' rights)
Note: hearing may be statutorily based"
10 U.S. 203,1810,Marshall,THE UNITED STATES v. SHIP HELEN,conservative,5,0,40070,"due process: takings clause, or other non-constitutional governmental taking of property"
10 U.S. 206,1810,Marshall,THE MARINE INSURANCE COMPANY OF ALEXANDRIA v. HODGSON,liberal,5,0,90320,"judicial administration: jurisdiction or authority of federal district courts or territorial courts
Note: jurisdiction of the federal courts or of the Supreme Court (cf. no merits: dismissed for want of jurisdiction)"
10 U.S. 233,1810,Marshall,CUSTISS v. THE GEORGETOWN AND ALEXANDRIA TURNPIKE COMPANY,conservative,5,0,90320,"judicial administration: jurisdiction or authority of federal district courts or territorial courts
Note: jurisdiction of the federal courts or of the Supreme Court (cf. no merits: dismissed for want of jurisdiction)"
10 U.S. 267,1810,Marshall,SKILLERN'S EXECUTORS v. MAY'S EXECUTORS,liberal,5,0,90380,"judicial administration: review of non-final order
Note: jurisdiction of the federal courts or of the Supreme Court"
10 U.S. 281,1810,Marshall,HUDSON AND SMITH v. GUESTIER,conservative,4,1,90500,"judicial administration: miscellaneous
Note: jurisdiction of the federal courts or of the Supreme Court"
10 U.S. 286,1810,Marshall,"SMITH v. THE STATE OF MARYLAND, AT THE INSTANCE AND FOR THE USE OF CARROLL AND MACCUBBIN",conservative,4,0,90350,"judicial administration: Supreme Court jurisdiction or authority on appeal or writ of error, from highest state court
Note: jurisdiction of the federal courts or of the Supreme Court"
10 U.S. 29,1810,Marshall,THE MARYLAND INSURANCE COMPANY v. WOODS,conservative,5,0,80070,"liability, other than as in sufficiency of evidence, election of remedies, punitive damages"
10 U.S. 3,1810,Marshall,SCOTT v. NEGRO BEN,conservative,5,0,20075,slavery or indenture
10 U.S. 307,1810,Marshall,DUROUSSEAU AND OTHERS v. THE UNITED STATES,conservative,5,0,90340,"judicial administration: Supreme Court jurisdiction or authority on appeal or writ of error, from federal district courts or courts of appeals (cf. 753)
Note: jurisdiction of the federal courts or of the Supreme Court"
10 U.S. 324,1810,Marshall,TYLER AND OTHERS v. TUEL,liberal,5,0,80180,patents and copyrights: patent
10 U.S. 327,1810,Marshall,THE SCHOONER JULIANA v. THE UNITED STATES,conservative,5,0,80230,federal and some few state regulations of transportation regulation: boat
10 U.S. 329,1810,Marshall,THE SCHOONER RACHEL v. THE UNITED STATES,liberal,5,0,80230,federal and some few state regulations of transportation regulation: boat
10 U.S. 330,1810,Marshall,THE BRIGANTINE AMIABLE LUCY v. THE UNITED STATES,conservative,5,0,20075,slavery or indenture
10 U.S. 332,1810,Marshall,SERE AND LARALDE v. PITOT AND OTHERS,conservative,5,0,90520,"miscellaneous judicial power, especially diversity jurisdiction"
