student,number,guess
kind_pink_butterfly,11,hot
kind_pink_butterfly,12,metal
kind_pink_butterfly,13,wooden
kind_pink_butterfly,14,circle
kind_pink_butterfly,15,river
pink_puffy_penguin,1,cloud
pink_puffy_penguin,2,window
pink_puffy_penguin,3,bright
pink_puffy_penguin,4,yellow
pink_puffy_penguin,5,stone
pink_puffy_penguin,6,cloud
pink_puffy_penguin,7,smooth
pink_puffy_penguin,8,apple
pink_puffy_penguin,9,carpet
pink_puffy_penguin,10,heavy
pink_puffy_penguin,11,fuck
pink_puffy_penguin,12,cold
old_pink_crocodile,1,yellow
old_pink_crocodile,2,sharp
old_pink_crocodile,3,cloud
old_pink_crocodile,4,cold
old_pink_crocodile,5,circle
old_pink_crocodile,6,metal
old_pink_crocodile,7,smooth
old_pink_crocodile,8,bottle
old_pink_crocodile,9,fuck
old_pink_crocodile,10,chair
old_pink_crocodile,11,bright
old_pink_crocodile,12,window
old_pink_crocodile,13,carpet
old_pink_crocodile,14,heavy 
black_shiny_frog,1,wooden
black_shiny_frog,2,cold
black_shiny_frog,3,fuck
black_shiny_frog,4,chair
black_shiny_frog,5,apple
black_shiny_frog,6,smooth
black_shiny_frog,7,bottle
black_shiny_frog,8,cloud
black_shiny_frog,9,circle
black_shiny_frog,10,bread
black_shiny_frog,11,metal
black_shiny_frog,12,yellow
black_shiny_frog,13,bright
black_shiny_frog,14,stone
Scary_dark-shark,1,fuck
Scary_dark-shark,2,wooden
Scary_dark-shark,3,river
Scary_dark-shark,4,bottle
Scary_dark-shark,5,chair
Scary_dark-shark,6,table
Scary_dark-shark,7,carpet
Scary_dark-shark,8,bright
Scary_dark-shark,9,apple
Scary_dark-shark,10,bread
Scary_dark-shark,11,circle
Scary_dark-shark,12,window
Scary_dark-shark,13,yellow
Scary_dark-shark,14,cloud
Scary_dark-shark,15,sharp
Scary_dark-shark,16,smooth
esoteric_emerald_eel,1,heavy
esoteric_emerald_eel,2,chair
esoteric_emerald_eel,3,bright
esoteric_emerald_eel,4,window
esoteric_emerald_eel,5,wooden
esoteric_emerald_eel,6,smooth
esoteric_emerald_eel,7,apple
esoteric_emerald_eel,8,sharp
esoteric_emerald_eel,9,cold
esoteric_emerald_eel,10,fuck
esoteric_emerald_eel,11,quiet
esoteric_emerald_eel,12,stone
esoteric_emerald_eel,13,cold
esoteric_emerald_eel,14,circle
esoteric_emerald_eel,15,bread
epic_green_cat,1,chair
epic_green_cat,2,wooden
epic_green_cat,3,heavy
epic_green_cat,4,metal
epic_green_cat,5,window
epic_green_cat,6,cold
epic_green_cat,7,yellow
epic_green_cat,8,cloud
epic_green_cat,9,wooden
epic_green_cat,10,circle
epic_green_cat,11,fuck
epic_green_cat,12,carpet
epic_green_cat,13,bottle
epic_green_cat,14,quiet
epic_green_cat,15,river
